case_id,benchmark_intent,title,gemini_model_name,gemini_execution_status,gemini_overall_passed,gemini_retrieved_sources,gemini_selected_evidence_count,gemini_citation_count,gemini_latency_seconds,gemini_error_type,gemma_model_name,gemma_execution_status,gemma_overall_passed,gemma_retrieved_sources,gemma_selected_evidence_count,gemma_citation_count,gemma_latency_seconds,gemma_error_type
provider_houston_pediatric_dentistry,PROVIDER_DISCOVERY,Houston pediatric dentist discovery,gemini-3.7-flash,success,True,20,5,5,10.602463624996744,,gemma4:12b,success,True,19,5,5,167.41496816699873,
provider_dallas_cardiology,PROVIDER_DISCOVERY,Dallas cardiologist discovery,gemini-3.7-flash,success,True,23,5,5,11.553768416997627,,gemma4:12b,success,True,16,5,5,126.700845708001,
provider_austin_neurology,PROVIDER_DISCOVERY,Austin neurologist discovery,gemini-3.7-flash,success,True,15,5,5,8.505059167000582,,gemma4:12b,success,True,13,5,5,131.61594624999998,
provider_chicago_dermatology,PROVIDER_DISCOVERY,Chicago dermatologist discovery,gemini-3.7-flash,success,True,13,5,5,7.773919958999613,,gemma4:12b,success,True,17,5,5,118.84435579099954,
research_childhood_dental_anxiety,BIOMEDICAL_RESEARCH,Childhood dental anxiety research,gemini-3.7-flash,success,True,7,5,5,11.944639875000576,,gemma4:12b,success,True,11,5,5,383.44142787500095,
research_pediatric_procedural_anxiety,BIOMEDICAL_RESEARCH,Pediatric procedural anxiety research,gemini-3.7-flash,success,True,12,5,5,13.551340375001018,,gemma4:12b,success,True,7,5,5,291.8656973750003,
health_general_patient_fear,HEALTH_INFORMATION,General health information about patient fear,gemini-3.7-flash,success,True,7,5,5,11.36586958299813,,gemma4:12b,success,True,12,5,5,216.70112558300025,
fhir_practitioner_role,FHIR_INTEROPERABILITY,FHIR PractitionerRole interoperability,gemini-3.7-flash,success,True,10,5,5,11.964495790998626,,gemma4:12b,error,False,0,0,0,707.7596401670016,Timeout
fhir_healthcare_service,FHIR_INTEROPERABILITY,FHIR HealthcareService interoperability,gemini-3.7-flash,success,True,3,3,3,9.740507750000688,,gemma4:12b,success,True,3,3,3,206.88416350000625,
unsupported_care_program_discovery,CARE_PROGRAM_DISCOVERY,Unsupported care program discovery,gemini-3.7-flash,unsupported,True,0,0,0,3.490501416999905,NotImplementedError,gemma4:12b,unsupported,True,0,0,0,98.57932312499906,NotImplementedError
unsupported_clinical_trials,CLINICAL_TRIALS,Unsupported clinical trials retrieval,gemini-3.7-flash,unsupported,True,0,0,0,3.3698596250033006,NotImplementedError,gemma4:12b,unsupported,True,0,0,0,71.84784758299793,NotImplementedError
