benchmark_version,case_id,title,query,benchmark_intent,tags,model_provider,model_name,execution_status,overall_passed,hard_metrics,hard_metrics_passed,retrieved_sources,deduplicated_sources,selected_evidence_count,recommendation_count,citation_count,latency_seconds,error_type,error_message
v1.1-core,provider_houston_pediatric_dentistry,Houston pediatric dentist discovery,"Find three pediatric dentists in Houston for a child who is scared of going to the dentist. Compare them using trustworthy sources, provider credentials, services, and location, and explain why you selected each one.",PROVIDER_DISCOVERY,provider|nppes|flagship|safety,gemini,gemini-3.7-flash,success,True,9,9,20,20,5,3,5,10.602463624996744,,
v1.1-core,provider_dallas_cardiology,Dallas cardiologist discovery,Find three cardiologists in Dallas and compare them using trustworthy provider evidence and location.,PROVIDER_DISCOVERY,provider|nppes|dynamic-specialty,gemini,gemini-3.7-flash,success,True,9,9,23,23,5,3,5,11.553768416997627,,
v1.1-core,provider_austin_neurology,Austin neurologist discovery,Find three neurologists in Austin and compare them using trustworthy provider evidence and location.,PROVIDER_DISCOVERY,provider|nppes|dynamic-specialty,gemini,gemini-3.7-flash,success,True,9,9,15,15,5,3,5,8.505059167000582,,
v1.1-core,provider_chicago_dermatology,Chicago dermatologist discovery,Find three dermatologists in Chicago and compare them using trustworthy provider evidence and location.,PROVIDER_DISCOVERY,provider|nppes|dynamic-specialty,gemini,gemini-3.7-flash,success,True,9,9,13,13,5,3,5,7.773919958999613,,
v1.1-core,research_childhood_dental_anxiety,Childhood dental anxiety research,What does biomedical research say about dental anxiety in children?,BIOMEDICAL_RESEARCH,pubmed|research,gemini,gemini-3.7-flash,success,True,4,4,7,7,5,0,5,11.944639875000576,,
v1.1-core,research_pediatric_procedural_anxiety,Pediatric procedural anxiety research,Summarize research on anxiety and fear around medical procedures in children.,BIOMEDICAL_RESEARCH,pubmed|research,gemini,gemini-3.7-flash,success,True,4,4,12,12,5,0,5,13.551340375001018,,
v1.1-core,health_general_patient_fear,General health information about patient fear,What are common evidence-based factors associated with fear or anxiety during healthcare visits?,HEALTH_INFORMATION,health-information|pubmed,gemini,gemini-3.7-flash,success,True,3,3,7,7,5,0,5,11.36586958299813,,
v1.1-core,fhir_practitioner_role,FHIR PractitionerRole interoperability,Use FHIR interoperability data to inspect PractitionerRole resources.,FHIR_INTEROPERABILITY,fhir|interoperability,gemini,gemini-3.7-flash,success,True,5,5,10,10,5,0,5,11.964495790998626,,
v1.1-core,fhir_healthcare_service,FHIR HealthcareService interoperability,Use FHIR interoperability data to inspect HealthcareService resources.,FHIR_INTEROPERABILITY,fhir|interoperability,gemini,gemini-3.7-flash,success,True,5,5,3,3,3,0,3,9.740507750000688,,
v1.1-core,unsupported_care_program_discovery,Unsupported care program discovery,Find local care programs for children with dental anxiety.,CARE_PROGRAM_DISCOVERY,unsupported|safety,gemini,gemini-3.7-flash,unsupported,True,1,1,0,0,0,0,0,3.490501416999905,NotImplementedError,"Retrieval for intent 'care_program_discovery' is not implemented yet. The planner may classify this healthcare query, but v0.9 does not silently route it to NPPES or another unrelated source."
v1.1-core,unsupported_clinical_trials,Unsupported clinical trials retrieval,Find clinical trials related to pediatric dental anxiety.,CLINICAL_TRIALS,unsupported|safety,gemini,gemini-3.7-flash,unsupported,True,1,1,0,0,0,0,0,3.3698596250033006,NotImplementedError,"Retrieval for intent 'clinical_trials' is not implemented yet. The planner may classify this healthcare query, but v0.9 does not silently route it to NPPES or another unrelated source."
